Breakdown,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Total Assets,2120000,2180000,2221000,2484000
Total Liabilities Net Minority Interest,1915000,1980000,2042000,2055000
Total Equity Gross Minority Interest,205000,200000,179000,429000
Total Capitalization,865000,570000,901000,1154000
Common Stock Equity,202000,198000,177000,426000
Capital Lease Obligations,299000,320000,330000,334000
Net Tangible Assets,-213000,-208000,-212000,71000
Working Capital,-19000,-342000,44000,415000
Invested Capital,875000,938000,922000,1158000
Tangible Book Value,-213000,-208000,-212000,71000
Total Debt,972000,1060000,1075000,1066000
Net Debt,220000,222000,189000,--
Share Issued,502111.2910,494207.2480,487530.6280,513252.0130
Ordinary Shares Number,502111.2910,494207.2480,487530.6280,513252.0130
Treasury Shares Number,--,0,--,--
