Breakdown,TTM,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Operating Cash Flow,164000,168000,222000,240000,450000
Investing Cash Flow,149000,-61000,-102000,-122000,-92000
Financing Cash Flow,-363000,-173000,-142000,-408000,-186000
Other Cash Adjustment Inside Change in Cash,0,1000,-16000,-1000,25000
End Cash Position,491000,453000,518000,556000,848000
Capital Expenditure,-98000,-100000,-126000,-138000,-141000
Issuance of Debt,100000,297000,19000,0,0
Repayment of Debt,-363000,-364000,-51000,-4000,-5000
Repurchase of Capital Stock,--,--,--,-164000,--
Free Cash Flow,66000,68000,96000,102000,309000
