Breakdown,TTM,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Total Revenue,3286000,3252000,3165000,3145000,3466000
Cost of Revenue,2937000,2850000,2725000,2658000,2769000
Gross Profit,349000,402000,440000,487000,697000
Operating Expense,358000,371000,359000,1785000,400000
Operating Income,-9000,31000,81000,-1298000,297000
Net Non Operating Interest Income Expense,-19000,-7000,-2000,-20000,-22000
Pretax Income,-22000,25000,78000,-1311000,302000
Tax Provision,-6000,6000,24000,-330000,74000
Net Income Common Stockholders,-16000,17000,55000,-993000,257000
Diluted NI Available to Com Stockholders,-16000,17000,55000,-993000,257000
Basic EPS,-0.03,0.03,0.11,-2.02,0.51
Diluted EPS,-0.03,0.03,0.11,-2.02,0.51
Basic Average Shares,502570.4000,498332.1520,490686.9430,492519.7720,505163.4520
Diluted Average Shares,505561.6560,499156.5450,491784.6280,493642.3840,505981.1230
Total Operating Income as Reported,-2000,37000,84000,-1291000,324000
Rent Expense Supplemental,--,12000,13000,12000,13000
Total Expenses,3295000,3221000,3084000,4443000,3169000
Net Income from Continuing & Discontinued Operation,-16000,17000,55000,-993000,257000
Normalized Income,-17454.5455,16504,58164,-982749,227244
Interest Income,17000,23000,20000,3000,1000
Interest Expense,33000,27000,18000,18000,15000
Net Interest Income,-19000,-7000,-2000,-20000,-22000
EBIT,11000,52000,96000,-1293000,317000
EBITDA,244000,240000,272000,-1137000,466000
Reconciled Cost of Revenue,2937000,2850000,2725000,2658000,2769000
Reconciled Depreciation,233000,188000,176000,156000,149000
Net Income from Continuing Operation Net Minority Interest,-16000,18000,54000,-982000,228000
Total Unusual Items Excluding Goodwill,2000,2000,-6000,1000,1000
Total Unusual Items,2000,2000,-6000,1000,1000
Normalized EBITDA,242000,238000,278000,-1138000,465000
Tax Rate for Calcs,0.0003,0.0003,0.0003,0.0003,0.0002
Tax Effect of Unusual Items,545.4545,504,-1836,251,244
