Breakdown,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Total Assets,454000,402000,365000,359000
Total Liabilities Net Minority Interest,125000,115000,110000,97000
Total Equity Gross Minority Interest,329000,287000,255000,262000
Total Capitalization,201000,180000,172000,167000
Common Stock Equity,329000,287000,255000,262000
Capital Lease Obligations,15000,14000,13000,12000
Net Tangible Assets,250000,215000,190000,188000
Working Capital,112000,98000,89000,86000
Invested Capital,201000,180000,172000,167000
Tangible Book Value,250000,215000,190000,188000
Total Debt,14000,13000,14000,14000
Net Debt,-100000,-86000,-80000,-78000
Share Issued,13000,12900,12800,12700
Ordinary Shares Number,13000,12900,12800,12700
Treasury Shares Number,1200,1100,1000,900
