Breakdown,TTM,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Operating Cash Flow,110000,110000,96500,82500,94900
Investing Cash Flow,-39100,-39100,-27100,-20300,-35500
Financing Cash Flow,-58000,-58000,-62300,-60500,-51200
Other Cash Adjustment Inside Change in Cash,0,0,0,0,0
End Cash Position,20200,20200,24000,21900,20900
Capital Expenditure,-45100,-45100,-32300,-31500,-24600
Issuance of Debt,11700,11700,10800,52900,20200
Repayment of Debt,-10900,-10900,-11600,-54100,-21400
Repurchase of Capital Stock,-53500,-53500,-61500,-59300,-50300
Free Cash Flow,62500,62500,69500,60000,67000
