Breakdown,TTM,12/31/2024,12/31/2023,12/31/2022,12/31/2021
Total Revenue,1316000,1316000,1274000,1166000,1063000
Cost of Revenue,863900,863900,838500,744900,688800
Gross Profit,452100,452100,435500,421700,374200
Operating Expense,371500,371500,339300,316000,286300
Operating Income,80500,80500,96200,105700,87900
Net Non Operating Interest Income Expense,-200,-200,-1100,-1100,-100
Pretax Income,79800,79800,95200,103800,87600
Tax Provision,19100,19100,24500,25700,17500
Net Income Common Stockholders,61000,61000,70700,78800,103300
Diluted NI Available to Com Stockholders,60600,60600,70300,78500,102800
Basic EPS,1.71,1.58,1.85,2.07,2.72
Diluted EPS,1.71,1.58,1.84,2.06,2.71
Basic Average Shares,38000,38000,38000,38000,38000
Diluted Average Shares,38000,38000,38000,38000,38000
Total Operating Income as Reported,80500,80500,96200,105700,87900
Rent Expense Supplemental,--,--,--,--,--
Total Expenses,1236100,1236100,1177800,1060300,958700
Net Income from Continuing & Discontinued Operation,61200,61200,70700,79500,104600
Normalized Income,60600,60600,70300,78500,102800
Interest Income,300,300,0,0,0
Interest Expense,0,0,1100,1100,100
Net Interest Income,300,300,-1100,-1100,-100
EBIT,80500,80500,96200,105700,87900
EBITDA,88100,88100,102900,109100,91700
Reconciled Cost of Revenue,863900,863900,838500,744900,688800
Reconciled Depreciation,7600,7600,6400,3900,3700
Net Income from Continuing Operation Net Minority Interest,61000,61000,70700,78800,103300
Total Unusual Items Excluding Goodwill,0,0,0,0,0
Total Unusual Items,0,0,0,0,0
Normalized EBITDA,88100,88100,102900,109100,91700
Tax Rate for Calcs,0.24,0.24,0.26,0.25,0.20
Tax Effect of Unusual Items,0,0,0,0,0
